iter	Logloss
0	0.6921132421
1	0.6909514752
2	0.6898545852
3	0.6882699909
4	0.6872462162
5	0.6859948499
6	0.6851690664
7	0.683607975
8	0.6826544595
9	0.6814130335
10	0.6798298863
11	0.6786110474
12	0.677411014
13	0.6759050368
14	0.6747386438
15	0.6735807431
16	0.6725848839
17	0.6715565351
18	0.6703726826
19	0.6691838339
20	0.6682620193
21	0.6671493982
22	0.6659736166
23	0.665056669
24	0.6638340871
25	0.6627012345
26	0.6617846323
27	0.6605286059
28	0.6595588026
29	0.6583364025
30	0.6570884533
31	0.6552616
32	0.6537100166
33	0.652689529
34	0.6516740312
35	0.650660333
36	0.6496460954
37	0.6487547105
38	0.6478063678
39	0.6470418379
40	0.64567916
41	0.6446777537
42	0.6436155751
43	0.6424628918
44	0.641527983
45	0.640586103
46	0.639532881
47	0.6385136808
48	0.6373424118
49	0.6360678002
50	0.6351456185
51	0.6341032758
52	0.6331247836
53	0.6322689489
54	0.6312933331
55	0.6303793684
56	0.6294603586
57	0.6283705354
58	0.6273429453
59	0.6261390656
60	0.6251168678
61	0.6240874489
62	0.623129644
63	0.6217224767
64	0.6207698176
65	0.6198175758
66	0.6188409428
67	0.6172693113
68	0.6160616904
69	0.6151774863
70	0.6138703903
71	0.6129290223
72	0.6121008078
73	0.6110510379
74	0.6093965123
75	0.6085240752
76	0.6075832436
77	0.6068252385
78	0.6060662389
79	0.6050598115
80	0.6041973035
81	0.6030525794
82	0.6021947195
83	0.6014002512
84	0.6005094975
85	0.5995993366
86	0.5984657417
87	0.597689869
88	0.5968406091
89	0.595851933
90	0.5949247917
91	0.5939492027
92	0.5931079765
93	0.5921559831
94	0.5911527803
95	0.5899802903
96	0.589090547
97	0.5879402836
98	0.5867332985
99	0.5859059006
100	0.5850251327
101	0.5842577984
102	0.5832511276
103	0.582235689
104	0.5811265071
105	0.5801751455
106	0.5793533176
107	0.5787964602
108	0.5779301147
109	0.5771736215
110	0.5763016323
111	0.5753030767
112	0.5743360211
113	0.5735860109
114	0.5727006326
115	0.5717680583
116	0.5706473758
117	0.5697732856
118	0.5686942965
119	0.5678495606
120	0.5670597404
121	0.5659003228
122	0.564981993
123	0.5639207085
124	0.5628523827
125	0.5619127254
126	0.5610168835
127	0.560006094
128	0.5589184781
129	0.5580379744
130	0.557211713
131	0.5563109199
132	0.555414772
133	0.5546459953
134	0.553847907
135	0.5529291451
136	0.5519078632
137	0.5505791088
138	0.5497159839
139	0.5490239859
140	0.5480516712
141	0.5471202234
142	0.5461327891
143	0.5452563306
144	0.5444580197
145	0.543801415
146	0.5429564615
147	0.5420895735
148	0.5411216895
149	0.540512679
150	0.5397751431
151	0.5390889466
152	0.5381516655
153	0.5373674115
154	0.5363725642
155	0.5353930513
156	0.5345921854
157	0.533954372
158	0.533007437
159	0.5320628266
160	0.5316484809
161	0.5308003863
162	0.529652828
163	0.5289356689
164	0.5281698942
165	0.5274555246
166	0.5266435107
167	0.5256995797
168	0.5246993184
169	0.5235369543
170	0.5228790402
171	0.5220283886
172	0.5212286512
173	0.5203843514
174	0.5197926978
175	0.5188811084
176	0.5180247009
177	0.5172327439
178	0.5163009564
179	0.5155958891
180	0.5149438063
181	0.5142043988
182	0.5133478085
183	0.5127074262
184	0.5119743248
185	0.5112894336
186	0.5105093519
187	0.5095739722
188	0.5086819033
189	0.5078158418
190	0.5070916414
191	0.5065588395
192	0.5057424128
193	0.5048640331
194	0.504238679
195	0.5034083108
196	0.50297152
197	0.5022574027
198	0.501360782
199	0.5005812605
200	0.4997654696
201	0.4990121464
202	0.4982614319
203	0.4976844728
204	0.4968237778
205	0.4961240192
206	0.4954694172
207	0.4947461446
208	0.4941389024
209	0.4934440295
210	0.4927500188
211	0.4919842482
212	0.4912490904
213	0.4906851848
214	0.4901408474
215	0.4888945083
216	0.487746503
217	0.4869088014
218	0.4862288237
219	0.4855052114
220	0.4847829243
221	0.4840619524
222	0.4834277034
223	0.482645003
224	0.4818381687
225	0.4808640699
226	0.4800076028
227	0.4794993937
228	0.4788318694
229	0.4781241755
230	0.4773463666
231	0.4767272353
232	0.4760653675
233	0.4753415803
234	0.4746833861
235	0.4736009598
236	0.4728385488
237	0.472184509
238	0.471656702
239	0.4710501413
240	0.4704422196
241	0.469836243
242	0.4693031669
243	0.4686597983
244	0.467863214
245	0.4670687755
